0.307264,
0.303764,
0.333216,
0.338158,
0.32969,
0.318096,
0.325976,
0.32424,
0.360746,
0.23809,
0.266824,
0.24434,
0.290613,
0.31758,
0.324529,
0.334982,
0.319907,
0.326403,
0.28965,
0.283399,
0.332737,
0.297256,
0.294034,
0.294015,
0.315984,
0.327245,
0.316185,
0.319007,
0.319341,
0.321733,
0.318351,
0.313133,
0.22949,
0.259575,
0.263375,
0.26966,
0.283994,
0.284919,
0.283229,
0.297755,
0.29501,
0.313846,
0.313465,
0.318385,
0.355617,
0.340942,
0.317969,
0.325797,
0.352255,
0.328597,
0.328527,
0.328051,
0.317595,
0.319875,
0.324044,
0.31714,
0.311265,
0.307324,
0.294447,
0.305306,
0.29056,
0.32174,
0.32195,
0.324722,
0.326151,
0.321046,
0.339351,
0.326515,
0.33065,
0.318597,
0.317873,
0.315133,
0.324469,
0.323041,
0.310291,
0.297564,
0.30662,
0.273911,
0.280453,
0.276096,
0.345312,
0.326057,
0.324058,
0.321747,
0.318234,
0.32073,
0.308187,
0.28675,
0.290906,
0.290064,
0.287666,
0.285831,
0.283605,
0.283824,
0.285001,
0.28727,
0.291602,
0.310903,
0.359103,
0.369226,
0.407666,
0.392755,
0.389705,
0.3897,
0.394566,
0.394476,
0.391463,
0.384203,
0.382459,
0.385213,
0.404021,
0.38276,
0.379963,
0.291321,
0.302206,
0.293751,
0.291574,
0.283714,
0.284509,
0.294769,
0.403881,
0.452071,
0.429065,
0.429632,
0.420232,
0.422881,
0.400981,
0.423361,
0.403922,
0.400314,
0.399997,
0.394238,
0.398818,
0.391394,
0.412392,
0.389765,
0.390798,
0.399738,
0.387974,
0.424322,
0.385272,
0.389147,
0.3915,
0.397638,
0.392086,
0.405668,
0.422016,
0.418042,
0.441377,
0.418575,
0.423325,
0.398614,
0.42321,
0.39788,
0.404043,
0.412238,
0.398081,
0.400852,
0.420287,
0.404459,
0.302361,
0.310562,
0.3107,
0.311001,
0.309095,
0.299857,
0.303468,
0.385847,
0.427374,
0.39102,
0.398406,
0.381592,
0.376778,
0.380362,
0.339752,
0.330198,
0.297941,
0.304166,
0.311817,
0.299478,
0.408049,
0.398959,
0.391606,
0.398759,
0.390962,
0.396934,
0.396004,
0.299738,
0.35945,
0.300113,
0.299216,
0.306005,
0.311633,
0.300904,
0.30161,
0.302187,
0.382267,
0.400477,
0.385389,
0.386262,
0.348541,
0.382269,
0.352078,
0.377226,
0.372851,
0.384817,
0.375878,
0.48449,
0.422723,
0.420117,
0.418011,
0.419444,
0.382586,
0.383088,
0.371624,
0.352051,
0.377874,
0.345373,
0.307373,
0.305269,
0.371535,
0.385273,
0.367294,
0.338326,
0.365438,
0.364393,
0.374979,
0.372123,
0.367435,
0.366081,
0.360195,
0.380461,
0.367987,
0.370655,
0.376672,
0.380208,
0.425433,
0.379659,
0.395981,
0.388492,
0.501177,
